Scopus refine results values

"Your query : (TITLE-ABS-KEY(""tremor suppression"" OR ""suppression of tremor"" OR ""tremor compensation"" OR ""compensation of tremor"") AND ( LIMIT-TO ( DOCTYPE,""re"" ) )  AND ( LIMIT-TO ( LANGUAGE,""English"" ) ) )"


Number of results : 25

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
,,,,"Shukla, A.W.","1",,,,,,,,,"Adaptive Cancelling","1","NC State College of Engineering","1",,,,,,,,
,,,,"Smith, C.","1",,,,,,,,,"Additive Manufacturing","1","Lampe Joint Department of Biomedical Engineering","1",,,,,,,,
,,,,"Speelman, J.D.","1",,,,,,,,,"Additives","1",,,,,,,,,,
,,,,"Subairdeen, M.A.","1",,,,,,,,,"Adverse Drug Reaction","1",,,,,,,,,,
,,,,"Takagi, Y.","1",,,,,,,,,"Afferent Stimulation","1",,,,,,,,,,
,,,,"Tan, Y.","1",,,,,,,,,"Anatomical Concepts","1",,,,,,,,,,
,,,,"Tang, H.","1",,,,,,,,,"Arm","1",,,,,,,,,,
,,,,"Tavanaei, R.","1",,,,,,,,,"Arm Injuries","1",,,,,,,,,,
,,,,"Thakor, N.V.","1",,,,,,,,,"Assistive","1",,,,,,,,,,
,,,,"Tronnier, V.","1",,,,,,,,,"Assistive Feeding Device","1",,,,,,,,,,
,,,,"Van Der Heide, L.A.","1",,,,,,,,,"Assistive Feeding Devices","1",,,,,,,,,,
,,,,"Van Der Pijl, D.J.","1",,,,,,,,,"Ataxic Gait","1",,,,,,,,,,
,,,,"Van Ninhuijs, B.","1",,,,,,,,,"Bayes Theorem","1",,,,,,,,,,
,,,,"Wang, K.L.","1",,,,,,,,,"Behavior Change","1",,,,,,,,,,
,,,,"Weng, H.","1",,,,,,,,,"Biofeedback","1",,,,,,,,,,
,,,,"Wu, D.","1",,,,,,,,,"Biomaterial","1",,,,,,,,,,
,,,,"Xiang, Y.","1",,,,,,,,,"Biomechanics","1",,,,,,,,,,
,,,,"Xue, X.","1",,,,,,,,,"Biomedical Engineering","1",,,,,,,,,,
,,,,"Yamamoto, N.","1",,,,,,,,,"Bleeding","1",,,,,,,,,,
,,,,"Ye, Q.","1",,,,,,,,,"Body Parts","1",,,,,,,,,,
,,,,"Yu, J.","1",,,,,,,,,"Body Regions","1",,,,,,,,,,
,,,,"Zali, A.","1",,,,,,,,,"Brain","1",,,,,,,,,,
,,,,"Zeuner, K.E.","1",,,,,,,,,"Brain Cortex","1",,,,,,,,,,
,,,,"Zhang, Z.","1",,,,,,,,,"Brain Degeneration","1",,,,,,,,,,
,,,,"Zhu, X.","1",,,,,,,,,"Brain Diseases","1",,,,,,,,,,
,,,,"Zolfagharian, A.","1",,,,,,,,,"Brain Electrophysiology","1",,,,,,,,,,
,,,,"de Bie, R.M.A.","1",,,,,,,,,"Brain Hemorrhage","1",,,,,,,,,,
,,,,,,,,,,,,,,"Brain Stem","1",,,,,,,,,,
,,,,,,,,,,,,,,"Burning Sensation","1",,,,,,,,,,
,,,,,,,,,,,,,,"Carbidopa Plus Levodopa","1",,,,,,,,,,
,,,,,,,,,,,,,,"Caregiver","1",,,,,,,,,,
,,,,,,,,,,,,,,"Case Study","1",,,,,,,,,,
,,,,,,,,,,,,,,"Central Nervous System","1",,,,,,,,,,
,,,,,,,,,,,,,,"Cerebellar Outflow Tremor","1",,,,,,,,,,
,,,,,,,,,,,,,,"Cerebellar Tremor","1",,,,,,,,,,
,,,,,,,,,,,,,,"Cerebellum","1",,,,,,,,,,
,,,,,,,,,,,,,,"Cerebellum Disease","1",,,,,,,,,,
,,,,,,,,,,,,,,"Clinical Article","1",,,,,,,,,,
,,,,,,,,,,,,,,"Clinical Decision Making","1",,,,,,,,,,
,,,,,,,,,,,,,,"Clinical Examination","1",,,,,,,,,,
,,,,,,,,,,,,,,"Clinical Outcome","1",,,,,,,,,,
,,,,,,,,,,,,,,"Clinical Practice","1",,,,,,,,,,
,,,,,,,,,,,,,,"Clinical Trial","1",,,,,,,,,,
,,,,,,,,,,,,,,"Cognitive Control Network","1",,,,,,,,,,
,,,,,,,,,,,,,,"Comparative Effectiveness","1",,,,,,,,,,
,,,,,,,,,,,,,,"Complication","1",,,,,,,,,,
,,,,,,,,,,,,,,"Computer Assisted Surgery","1",,,,,,,,,,
